備考_links,section,備考,品名,出し方
,あ,新聞紙などに包んで,アイスピック,家庭ごみ
"['https://www.city.kitakyushu.lg.jp/kankyou/00800208.html', 'https://www.city.kitakyushu.lg.jp/kankyou/00800208.html']",あ,金属製のものは小物金属 回収ボックス へ 電子式で小型（概ね25センチ×8.5センチ以内）のものは小型電子機器 回収ボックス へ,アイロン,家庭ごみ
['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],あ,事前申し込み制,アイロン台,粗大ごみ
['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],あ,事前申し込み制,アコーディオン,粗大ごみ
['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],あ,事前申し込み制,アコーディオンカーテン,粗大ごみ
['https://www.city.kitakyushu.lg.jp/kankyou/00800208.html'],あ,小型電子機器 回収ボックス へ,アダプター（電源用）,小型電子機器
['https://www.city.kitakyushu.lg.jp/kankyou/00800208.html'],あ,小物金属 回収ボックス へ,圧力鍋,小物金属
['https://www.city.kitakyushu.lg.jp/kankyou/00800208.html'],あ,布や紙にしみこませるか固形化して できるだけペットボトルに入れてスーパーなどの食用油 回収ボックス へ,油（食用油）,家庭ごみ
,あ,（注）専門の処理業者に依頼,油（機械用）,市が収集しないもの
,あ,,油こし器（金属製）,家庭ごみ
,あ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,油差し,家庭ごみ
,あ,油をよく落として,油びん,かん・びん
,あ,,油よけ（アルミ製）,家庭ごみ
,あ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,雨具（カッパ）,家庭ごみ
['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],あ,事前申し込み制,雨戸,粗大ごみ
['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],あ,事前申し込み制,編み機,粗大ごみ
['https://www.city.kitakyushu.lg.jp/kankyou/00800208.html'],あ,小物金属 回収ボックス へ,網（バーベキュー用）,小物金属
,あ,,網（昆虫採集用など）,家庭ごみ
['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],あ,事前申し込み制,網戸,粗大ごみ
