備考_links,section,品名,備考,出し方
"['/contents/924_10259.html', '/contents/00800208.html']",か,カーオーディオ,事前申込制 小型（概ね25センチ×8.5センチ以内）のものは小型電子機器 回収ボックス へ,粗大ごみ
['/contents/924_10259.html'],か,カーテンレール,事前申込制,粗大ごみ
"['/contents/924_10259.html', '/contents/00800208.html']",か,カーナビ,事前申込制 小型（概ね25センチ×8.5センチ以内）のものは小型電子機器 回収ボックス,粗大ごみ
['/contents/924_10259.html'],か,カーペット,事前申込制,粗大ごみ
,か,カーペットローラー,,家庭ごみ
,か,カーボン紙,,家庭ごみ
['/contents/00800208.html'],か,懐中電灯,小型（概ね25センチ×8.5センチ以内）のものは小型電子機器 回収ボックス へ,家庭ごみ
['/contents/924_10259.html'],か,回転ハンバー,事前申込制,粗大ごみ
['/contents/924_10259.html'],か,買物カート（ショッピングカー、シルバーカー）,事前申込制,粗大ごみ
,か,買物かご,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,家庭ごみ
,か,カイロ（使い捨て）,,家庭ごみ
,か,鏡,指定袋に入らない大きさのものは粗大ごみ,家庭ごみ
['/contents/00800208.html'],か,鍵,小物金属 回収ボックス へ,小物金属
,か,かき氷機,,家庭ごみ
,か,額縁,指定袋に入らない大きさのものは粗大ごみ,家庭ごみ
,か,かご,指定袋に入らない大きさのものは粗大ごみ プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,家庭ごみ
['/contents/00800208.html'],か,傘,折りたたみ傘は小物金属 回収ボックス へ,家庭ごみ
,か,傘立て,指定袋に入らない大きさのものは粗大ごみ プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,家庭ごみ
['/contents/924_10259.html'],か,加湿器,事前申込制,粗大ごみ
,か,菓子箱の中仕切り（プラ製）,,プラスチック
['/contents/00800208.html'],か,菓子箱（紙製）,古紙 回収ボックス へ,古紙
,か,菓子のかん,,かん・びん
,か,菓子袋（プラ製）,,プラスチック
['/contents/924_10259.html'],か,ガスオーブン,事前申込制,粗大ごみ
['/contents/924_10259.html'],か,ガスストーブ,事前申込制,粗大ごみ
['/contents/924_10259.html'],か,ガス台（ガステーブル・ガスレンジ）,事前申込制,粗大ごみ
['/contents/924_10259.html'],か,ガスレンジ,事前申込制,粗大ごみ
,か,ガスレンジマット（アルミはく製）,,家庭ごみ
['https://www.city.kitakyushu.lg.jp/kankyou/file_0015.html'],か,ガスボンベ（カセットボンベ以外）,（注）販売店に相談　（参考）「 市が収集しないもの 」,市が収集しないもの
"['/contents/00800208.html', 'https://www.city.kitakyushu.lg.jp/kankyou/file_0015.html']",か,カセットコンロ（卓上コンロ）,小物金属 回収ボックス へ カセットボンベは中身を使い切ってから穴をあけずに家庭ごみへ 中身の残っているものは「 市が収集しないもの 」参照）,小物金属
['https://www.city.kitakyushu.lg.jp/kankyou/file_0015.html'],か,カセットボンベ,必ず中身を使い切ってから穴をあけずに （中身の残っているものは本ホームページ「 市が収集しないもの 」参照）,家庭ごみ
,か,カセットテープ（ケースを含む）,,家庭ごみ
"['/contents/924_10259.html', '/contents/00800208.html']",か,カセット式テープレコーダー,事前申込制 小型（概ね25センチ×8.5センチ以内）のものは小型電子機器 回収ボックス へ,粗大ごみ
"['/contents/924_10259.html', '/contents/00800208.html']",か,カセットデッキ,事前申込制 小型（概ね25センチ×8.5センチ以内）のものは小型電子機器 回収ボックス へ,粗大ごみ
,か,ガソリン,（注）専門の処理業者に依頼,市が収集しないもの
['/contents/00800208.html'],か,カタログ（パンフレット）,古紙 回収ボックス へ,古紙
,か,カッター（刃を含む）,新聞紙などに包んで,家庭ごみ
,か,カッパ（雨具）,,家庭ごみ
,か,カップめんなどのスープやかやくの袋,,プラスチック
,か,カップめんなどのふた（紙製）,,家庭ごみ
,か,カップめんなどのふた（プラ製）,,プラスチック
,か,カップめんなどの容器・フィルム,紙製の容器は家庭ごみ,プラスチック
['/contents/00800208.html'],か,金づち（とんかち）,小物金属 回収ボックス へ,小物金属
['https://www.city.kitakyushu.lg.jp/kankyou/01100026.html'],か,加熱式たばこ,電池類 回収ボックス へ,電池類
,か,かばん,,家庭ごみ
,か,画板,指定袋に入らない大きさのものは粗大ごみ,家庭ごみ
['/contents/00800208.html'],か,画びょう,小物金属 回収ボックス へ 透明のビニール袋に入れて,小物金属
,か,花びん,新聞紙などに包んで プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,家庭ごみ
['/contents/00800208.html'],か,釜,小物金属 回収ボックス へ,小物金属
,か,鎌,新聞紙などに包んで,家庭ごみ
,か,紙おむつ,汚物を取り除いて,家庭ごみ
,か,紙コップ,,家庭ごみ
,か,紙皿,,家庭ごみ
,か,かみそり,新聞紙などに包んで,家庭ごみ
['/contents/00800208.html'],か,紙パック（飲料用）,紙パック 回収ボックス へ 内側がアルミのものは、家庭ごみ,紙パック
['/contents/00800208.html'],か,紙袋,紙は、古紙 回収ボックス へ 紙以外のものは除いて、家庭ごみへ,古紙
,か,紙やすり,,家庭ごみ
['/contents/00800208.html'],か,カメラ,デジタルカメラや小型のもの（概ね25センチ×8.5センチ以内）のものは小型電子機器 回収ボックス へ,家庭ごみ
,か,カメラのケース,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,家庭ごみ
,か,カメラのレンズ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,家庭ごみ
['/contents/924_10259.html'],か,カラーボックス,事前申込制,粗大ごみ
['/contents/924_10259.html'],か,カラオケセット,事前申込制,粗大ごみ
,か,からしのチューブ（ふたを含む）,中身を使い切って,プラスチック
,か,ガラス,新聞紙などに包んで 指定袋に入らない大きさのものは粗大ごみ,家庭ごみ
,か,ガラス製品（コップ、皿など）,新聞紙などに包んで,家庭ごみ
['/contents/00800208.html'],か,カレンダー（紙製）,古紙 回収ボックス へ 金具は外して,古紙
,か,革製品,,家庭ごみ
['/contents/00800208.html'],か,皮むき器,金属製のものは小物金属 回収ボックス へ プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,家庭ごみ
['/contents/924_10259.html'],か,瓦,事前申込制,粗大ごみ
,か,かん（飲料・食料用）,,かん・びん
,か,かん（飲料・食料用以外）,,家庭ごみ
,か,かん（食用油かん）,油をよく落として,かん・びん
,か,かん（ペットフードかん）,油と汚れをよく落として,かん・びん
,か,かん（一斗缶）,中身を使い切って,家庭ごみ
['/contents/00800208.html'],か,かんのふた（金属製）,小物金属 回収ボックス へ,小物金属
,か,換気扇,指定袋に入らない大きさのものは粗大ごみ プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,家庭ごみ
['/contents/00800208.html'],か,缶切り,小物金属 回収ボックス へ,小物金属
,か,緩衝材（プラ製）,,プラスチック
['/contents/924_10259.html'],か,乾燥機（食器用、布団用）,事前申込制 衣類乾燥機（ドラム式）は販売店などに引き取りを依頼,粗大ごみ
,か,乾燥剤,,家庭ごみ
['https://www.city.kitakyushu.lg.jp/kankyou/01100026.html'],か,乾電池（充電式でないもの）,電池類 回収ボックス へ 必ず、絶縁ビニールテープ等で電極部分を絶縁して、家庭ごみにも出せる。 充電式・ボタン型電池は、別記,電池類
,か,感熱紙,,家庭ごみ
['/contents/924_10259.html'],き,キーボード（楽器）,事前申込制 （注）ピアノは専門の処理業者に相談,粗大ごみ
['/contents/00800208.html'],き,キーホルダー,金属製のものは小物金属 回収ボックス へ プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,家庭ごみ
['/contents/924_10259.html'],き,ギター,事前申込制,粗大ごみ
['/contents/924_10259.html'],き,キッチンストッカー,事前申込制,粗大ごみ
['/contents/00800208.html'],き,キッチンバサミ,小物金属 回収ボックス へ,小物金属
['https://www.city.kitakyushu.lg.jp/kankyou/file_0043.html'],き,木の枝・幹,（参考）「 緑のリサイクル 」,家庭ごみ
,き,着物,,家庭ごみ
['/contents/924_10259.html'],き,脚立,事前申込制,粗大ごみ
['/contents/00800208.html'],き,キャップ・ふた（金属製）,小物金属 回収ボックス へ,小物金属
,き,キャップ・ふた（プラ製）,,プラスチック
['/contents/924_10259.html'],き,キャリア（車の上に取り付けるもの）,事前申込制,粗大ごみ
['/contents/00800208.html'],き,急須,金属製のものは小物金属 回収ボックス へ,家庭ごみ
['/contents/924_10259.html'],き,給湯器,事前申込制,粗大ごみ
['/contents/00800208.html'],き,牛乳パック,紙パック 回収ボックス へ,紙パック
,き,給油ポンプ,,家庭ごみ
['/contents/924_10259.html'],き,鏡台,事前申込制,粗大ごみ
,き,銀紙,,家庭ごみ
,き,金魚ばち,新聞紙などに包んで プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,家庭ごみ
,き,金庫,（注）専門の処理業者に依頼,市が収集しないもの
['/contents/924_10259.html'],き,金庫（手さげ金庫）,事前申込制,粗大ごみ
,く,空気入れ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,家庭ごみ
['/contents/924_10259.html'],く,空気清浄器,事前申込制,粗大ごみ
['/contents/924_10259.html'],く,クーラーボックス,事前申込制,粗大ごみ
['/contents/00800208.html'],く,くぎ,透明のビニール袋に入れて　小物金属 回収ボックス へ,小物金属
