出し方,品名,備考_links,section,備考
家庭ごみ,サーキュレーター,,さ,
粗大ごみ,サーフボード,['/contents/924_10259.html'],さ,事前申込制
粗大ごみ,サイクリングマシン,['/contents/924_10259.html'],さ,事前申込制
粗大ごみ,座いす,['/contents/924_10259.html'],さ,事前申込制
粗大ごみ,サイドボード,['/contents/924_10259.html'],さ,事前申込制
粗大ごみ,材木類（長さ2メートル以下、直径20センチ以下）,['/contents/924_10259.html'],さ,事前申込制
紙パック,酒パック,,さ,内側がアルミのものは家庭ごみ
粗大ごみ,座卓,['/contents/924_10259.html'],さ,事前申込制
古紙,雑誌,['/contents/00800208.html'],さ,古紙 回収ボックス へ
市が収集しないもの,殺虫剤,,さ,（注）専門の処理業者に依頼
家庭ごみ,殺虫剤スプレー缶,,さ,必ず使い切ってから、穴をあけないで
家庭ごみ,座布団,,さ,指定袋に入らない大きさのものは粗大ごみ
家庭ごみ,皿,,さ,新聞紙などに包んで プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
かん・びん,サラダ油のかん,,さ,油をよく落として
プラスチック,サラダ油の容器（プラ製）,,さ,中身を使い切って
家庭ごみ,ざる,['/contents/00800208.html'],さ,金属製のものは小物金属 回収ボックス へ プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
家庭ごみ,三角コーナー,['/contents/00800208.html'],さ,金属製のものは小物金属 回収ボックス へ プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
家庭ごみ,三脚,,さ,指定袋に入らない大きさのものは粗大ごみ
粗大ごみ,三輪車,['/contents/924_10259.html'],さ,事前申込制
プラスチック,CD（ケースを含む）,,し,
粗大ごみ,CDチェンジャー,"['/contents/924_10259.html', '/contents/00800208.html']",し,事前予約制 小型（概ね25センチ×8.5センチ以内）のものは小型電子機器 回収ボックス へ
粗大ごみ,CDプレーヤー,"['/contents/924_10259.html', '/contents/00800208.html']",し,事前予約制 小型（概ね25センチ×8.5センチ以内）のものは小型電子機器 回収ボックス へ
粗大ごみ,CDラジカセ,"['/contents/924_10259.html', '/contents/00800208.html']",し,事前予約制 小型（概ね25センチ×8.5センチ以内）のものは小型電子機器 回収ボックス へ
家庭ごみ,シェーバー（ひげそり）,"['/contents/00800208.html', '/contents/00800208.html']",し,金属製のものは小物金属 回収ボックス へ 電気シェーバーは小型電子機器回収 回収ボックス へ
家庭ごみ,磁石,['/contents/00800208.html'],し,鉄製は小物金属 回収ボックス へ
古紙,辞書,['/contents/00800208.html'],し,古紙 回収ボックス へ
粗大ごみ,七輪,['/contents/924_10259.html'],し,事前予約制
プラスチック,湿気取りの容器（使い捨て）,,し,
粗大ごみ,室内物干し,['/contents/924_10259.html'],し,事前予約制
粗大ごみ,自転車,['/contents/924_10259.html'],し,事前予約制
市が収集しないもの,自動車,,し,（注）販売店に相談
粗大ごみ,芝刈り機,['/contents/924_10259.html'],し,事前予約制
家庭ごみ,シャープペンシル,,し,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
プラスチック,シャープペンシルの芯のケース,,し,
家庭ごみ,写真,,し,
プラスチック,写真フィルムのケース,,し,
粗大ごみ,ジャッキ,['/contents/924_10259.html'],し,事前予約制
粗大ごみ,シャベル（ショベル）,['/contents/924_10259.html'],し,事前予約制
粗大ごみ,ジャングルジム（子供用遊具）,['/contents/924_10259.html'],し,事前予約制
粗大ごみ,シャンデリア,['/contents/924_10259.html'],し,事前予約制
プラスチック,シャンプー詰替用袋,,し,
プラスチック,シャンプー容器,,し,
古紙,週刊誌,['/contents/00800208.html'],し,古紙 回収ボックス へ
家庭ごみ,ジューサー,,し,
粗大ごみ,じゅうたん,['/contents/924_10259.html'],し,事前予約制
電池類,充電式電池,['https://www.city.kitakyushu.lg.jp/kankyou/01100026.html'],し,電池類 回収ボックス へ
粗大ごみ,収納箱（衣装ケース）,['/contents/924_10259.html'],し,事前予約制 プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
粗大ごみ,シューズボックス,['/contents/924_10259.html'],し,事前予約制
家庭ごみ,ジュニアシート,,し,指定袋に入らない大きさのものは粗大ごみ
粗大ごみ,シュレッダー（家庭用）,['/contents/924_10259.html'],し,事前予約制
古紙,シュレッダー処理後の紙,['/contents/00800208.html'],し,古紙 回収ボックス へ 散らばらないように袋に入れて
粗大ごみ,瞬間湯沸し器,['/contents/924_10259.html'],し,事前予約制
市が収集しないもの,消火器,,し,（注）販売店または株式会社消火器リサイクル推進センター：03-5829-6773（祝日を除く月曜日から金曜日9時から12時、13時から17時）に相談
家庭ごみ,定規（じょうぎ）,['/contents/00800208.html'],し,金属製のものは小物金属 回収ボックス へ プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
家庭ごみ,将棋盤,,し,
粗大ごみ,障子,['/contents/924_10259.html'],し,事前予約制
家庭ごみ,浄水器,,し,指定袋に入らない大きさのものは粗大ごみ
粗大ごみ,照明器具,['/contents/924_10259.html'],し,事前予約制
家庭ごみ,じょうろ,['/contents/00800208.html'],し,金属製のものは小物金属 回収ボックス へ プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
プラスチック,食品用トレイ,,し,
家庭ごみ,食用油,['http://www.city.kitakyushu.lg.jp/kankyou/file_0046.html'],し,布や紙にしみこませるか固形化してから家庭ごみへ できるだけペットボトルに入れて、スーパーなどの回収ボックスへ （注）詳細は、 使用済み食用油の回収について をご覧下さい。
かん・びん,食用油のかん・びん,,し,油をよく落として
プラスチック,食用油の容器（プラ製）,,し,中身を使い切って
小物金属,食用油の容器のふた（金属製）,['/contents/00800208.html'],し,小物金属 回収ボックス へ 油は紙等でふきとって
プラスチック,食用油の容器のふた（プラ製）,,し,
粗大ごみ,除湿器,['/contents/924_10259.html'],し,事前予約制
プラスチック,除湿剤の容器,,し,
家庭ごみ,食器類,,し,新聞紙などで包んで 割れてしまったものも含む プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
粗大ごみ,食器（洗い）乾燥機,['/contents/924_10259.html'],し,事前予約制
粗大ごみ,食器棚,['/contents/924_10259.html'],し,事前予約制
粗大ごみ,ショッピングカー,['/contents/924_10259.html'],し,事前予約制
粗大ごみ,シルバーカー,['/contents/924_10259.html'],し,事前予約制
家庭ごみ,人工芝,,し,指定袋に入らない大きさのものは粗大ごみ
古紙,新聞紙,['/contents/00800208.html'],し,古紙 回収ボックス へ
区役所または出張所の回収ボックスへ,水銀体温計・水銀血圧計・水銀体温計,['/contents/00800208.html'],す,水銀体温計 回収ボックス へ 壊れたものは、硬い紙などで直接触れないようすべて集め、ポリ袋に入れ、家庭ごみで出してください
粗大ごみ,水槽,['/contents/924_10259.html'],す,事前申込制
家庭ごみ,水筒,['/contents/00800208.html'],す,金属製のものは小物金属 回収ボックス へ
粗大ごみ,炊飯器,['/contents/924_10259.html'],す,事前申込制
粗大ごみ,スーツケース（キャリーバッグ）,['/contents/924_10259.html'],す,事前申込制
粗大ごみ,姿見,['/contents/924_10259.html'],す,事前申込制
粗大ごみ,スキャナー,['/contents/924_10259.html'],す,事前申込制
家庭ごみ,スキー靴,,す,
粗大ごみ,スキーセット （スキー板とストック）,['/contents/924_10259.html'],す,事前申込制
粗大ごみ,スクリーン,['/contents/924_10259.html'],す,事前申込制
家庭ごみ,スケート靴,,す,
粗大ごみ,スケートボード,['/contents/924_10259.html'],す,事前申込制
小物金属,スコップ,['/contents/00800208.html'],す,金属製の長さが30センチ未満のものは、小物金属 回収ボックス へ プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック それ以外は、家庭ごみ 指定袋に入らない大きさのものは粗大ごみ
家庭ごみ,すだれ,,す,指定袋に入らない大きさのものは粗大ごみ プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
粗大ごみ,スタンドミラー（姿見）,['/contents/924_10259.html'],す,事前申込制
かん・びん,スチールかん（飲料・食品用）,,す,
粗大ごみ,スチール棚,['/contents/924_10259.html'],す,事前申込制
粗大ごみ,ステップマシーン,['/contents/924_10259.html'],す,事前申込制
粗大ごみ,ステレオセット,['/contents/924_10259.html'],す,事前申込制
粗大ごみ,ステレオラック,['/contents/924_10259.html'],す,事前申込制
粗大ごみ,ストーブ,['/contents/924_10259.html'],す,灯油は抜いて 事前申込制
粗大ごみ,ストーブガード,['/contents/924_10259.html'],す,事前申込制
家庭ごみ,ストロー,,す,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
家庭ごみ,砂（鉢植えなどから出た少量のもの）,,す,
粗大ごみ,砂（多量のもの）,['/contents/924_10259.html'],す,事前申込制
プラスチック,スナック菓子などの袋,,す,
粗大ごみ,スノーボード,['/contents/924_10259.html'],す,事前申込制
粗大ごみ,すのこ,['/contents/924_10259.html'],す,事前申込制 プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
粗大ごみ,スピーカー,['/contents/924_10259.html'],す,事前申込制
小物金属,スプーン,['/contents/00800208.html'],す,小物金属 回収ボックス へ 金属製以外のものは家庭ごみ
粗大ごみ,スプリングマットレス,['/contents/924_10259.html'],す,事前申込制
家庭ごみ,スプレー缶,,す,必ず使い切ってから、穴をあけないで
プラスチック,スプレー缶のキャップ（プラ製）,,す,
粗大ごみ,すべり台（子供用遊具）,['/contents/924_10259.html'],す,事前申込制
家庭ごみ,スポンジ,,す,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
粗大ごみ,ズボンプレッサー,['/contents/924_10259.html'],す,事前申込制
家庭ごみ,炭,,す,
家庭ごみ,すり鉢,,す,新聞紙などに包んで プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
家庭ごみ,生理用品,,せ,
家庭ごみ,石けん箱,,せ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
家庭ごみ,せともの類,,せ,新聞紙などに包んで
家庭ごみ,セロハン,,せ,
家庭ごみ,洗剤（漂白剤など）,,せ,液体のものは布か紙にしみこませて
家庭ごみ,洗剤の計量カップ・スプーン,,せ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
家庭ごみ,洗剤容器（紙製）,,せ,中身を使い切って
プラスチック,洗剤容器（プラ製）,,せ,中身を使い切って
粗大ごみ,洗浄機能付き便座,['/contents/924_10259.html'],せ,事前申込制
