備考,備考_links,section,出し方,品名
電子式で小型（概ね25センチ×8.5センチ以内）のものは小型電子機器 回収ボックス へ 水銀体温計は区役所・出張所の水銀体温計 回収ボックス へ,"['/contents/00800208.html', '/contents/00800208.html']",た,家庭ごみ,体温計（水銀体温計を除く）
（注）専門の処理業者に依頼,,た,市が収集しないもの,耐火金庫
事前申込制,['/contents/924_10259.html'],た,粗大ごみ,台車
,,た,家庭ごみ,体脂肪計
,,た,家庭ごみ,体重計（ヘルスメーター）
事前申込制,['/contents/924_10259.html'],た,粗大ごみ,タイプライター
（注）販売店に相談,,た,市が収集しないもの,タイヤ
事前申込制,['/contents/924_10259.html'],た,粗大ごみ,タイヤチェーン
事前申込制,['/contents/924_10259.html'],た,粗大ごみ,タイヤホイール
事前申込制,['/contents/924_10259.html'],た,粗大ごみ,タイル（ガーデニング用、屋外用）
事前申込制,['/contents/924_10259.html'],た,粗大ごみ,高枝切ばさみ
小物金属 回収ボックス へ カセットボンベは中身を使い切ってから穴をあけずに家庭ごみ（中身の残っているものは 「市が収集しないもの」 参照）,"['/contents/00800208.html', '/contents/924_10085.html']",た,小物金属,卓上コンロ
小型電子機器 回収ボックス へ,['/contents/00800208.html'],た,小型電子機器,卓上IHコンロ
事前申込制,['/contents/924_10259.html'],た,粗大ごみ,畳
事前申込制,['/contents/924_10259.html'],た,粗大ごみ,卓球台
,,た,家庭ごみ,脱臭剤（冷蔵庫用など）
プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,,た,家庭ごみ,タッパー類
,,た,プラスチック,たばこの外装フィルム
小型電子機器 回収ボックス へ,['/contents/00800208.html'],た,小型電子機器,タブレット端末
紙製のものは家庭ごみ,,た,プラスチック,卵パック（プラ製）
,,た,プラスチック,タマネギなどの網・ネット
事前申込制,['/contents/924_10259.html'],た,粗大ごみ,たらい
金属製のものは小物金属 回収ボックス へ,['/contents/00800208.html'],た,家庭ごみ,たわし
古紙 回収ボックス へ,['/contents/00800208.html'],た,古紙,単行本
事前申込制,['/contents/924_10259.html'],た,粗大ごみ,たんす
小物金属 回収ボックス へ 金属製以外のものは家庭ごみ,['/contents/00800208.html'],た,小物金属,ダンベル（鉄アレイ）
古紙 回収ボックス へ ガムテープや伝票は外して,['/contents/00800208.html'],た,古紙,段ボール
金属製のものは小物金属 回収ボックス へ,['/contents/00800208.html'],ち,家庭ごみ,チェーン
事前申込制,['/contents/924_10259.html'],ち,粗大ごみ,チェーンソー
指定袋に入らない大きさのものは粗大ごみ,,ち,家庭ごみ,地球儀
事前申込制,['/contents/924_10259.html'],ち,粗大ごみ,チャイルドシート
小物金属 回収ボックス へ,['/contents/00800208.html'],ち,小物金属,茶こし
事前申込制,['/contents/924_10259.html'],ち,粗大ごみ,茶だんす
金属製のものは小物金属 回収ボックス へ プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,['/contents/00800208.html'],ち,家庭ごみ,茶筒
,,ち,家庭ごみ,着火剤
新聞紙などに包んで　割れたものも家庭ごみ プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,,ち,家庭ごみ,茶碗
小物金属 回収ボックス へ 30センチを超えるものは家庭ごみ,['/contents/00800208.html'],ち,小物金属,中華鍋
（注）かかりつけの病院に引き取りを依頼,,ち,市が収集しないもの,注射針
新聞紙などに包んで 針が外せない物はかかりつけの病院に引き取りを依頼,,ち,家庭ごみ,注射筒
事前申込制 小型（概ね25センチ×8.5センチ以内）のものは小型電子機器 回収ボックス へ,"['/contents/924_10259.html', '/contents/00800208.html']",ち,粗大ごみ,チューナー（BS・CS）
新聞紙などに包んで,,ち,家庭ごみ,彫刻刀
小物金属 回収ボックス へ,['/contents/00800208.html'],ち,小物金属,ちょうつがい
事前申込制,['/contents/924_10259.html'],ち,粗大ごみ,調理台
古紙 回収ボックス へ,['/contents/00800208.html'],ち,古紙,チラシ（新聞折込み）
,,ち,家庭ごみ,ちり紙
金属製のものは小物金属 回収ボックス へ プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,['/contents/00800208.html'],ち,家庭ごみ,ちりとり
事前申込制,['/contents/924_10259.html'],つ,粗大ごみ,ついたて
,,つ,家庭ごみ,つえ
事前申込制,['/contents/924_10259.html'],つ,粗大ごみ,机
事前申込制,['/contents/924_10259.html'],つ,粗大ごみ,つけもの石（石製・ポリエチレン製）
,,つ,家庭ごみ,土（鉢植えなどから出た少量のもの）
事前申込制,['/contents/924_10259.html'],つ,粗大ごみ,土（多量のもの）
プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,,つ,家庭ごみ,つっぱり棒
新聞紙などに包んで,,つ,家庭ごみ,壺（つぼ）
,,つ,プラスチック,詰替え品の容器など（プラ製）
小物金属 回収ボックス へ,['/contents/00800208.html'],つ,小物金属,つめ切り
指定袋に入らない大きさのものは粗大ごみ,,つ,家庭ごみ,つりざお
新聞紙などに包んで,,つ,家庭ごみ,つりばり
,,て,プラスチック,DVD（ケースを含む）
事前申込制 小型（概ね25センチ×8.5センチ以内）のものは小型電子機器回収ボックスへ,['/contents/924_10259.html'],て,粗大ごみ,DVDプレーヤー
,,て,家庭ごみ,デイパック
古紙 回収ボックス へ 取り出し口のビニールははがして,['/contents/00800208.html'],て,古紙,ティッシュの箱
,,て,家庭ごみ,ティッシュペーパー
事前申込制,['/contents/924_10259.html'],て,粗大ごみ,テーブル
小型電子機器 回収ボックス へ,['/contents/00800208.html'],て,小型電子機器,テーブルタップ（電気コード）
事前申込制 小型（概ね25センチ×8.5センチ以内）のものは小型電子機器 回収ボックス へ,"['/contents/924_10259.html', '/contents/00800208.html']",て,粗大ごみ,テープレコーダー
事前申込制,['/contents/924_10259.html'],て,粗大ごみ,手さげ金庫
小物金属 回収ボックス へ,['/contents/00800208.html'],て,小物金属,鉄アレイ（ダンベル）
小物金属 回収ボックス へ　30センチを超えるものは粗大ごみ,['/contents/00800208.html'],て,小物金属,鉄パイプ（鉄棒）
小物金属 回収ボックス へ　30センチを超えるものは粗大ごみ,['/contents/00800208.html'],て,小物金属,鉄板
,,て,家庭ごみ,テニスラケット
事前申込制,['/contents/924_10259.html'],て,粗大ごみ,テレビアンテナ
小型電子機器 回収ボックス へ,['/contents/00800208.html'],て,小型電子機器,テレビゲーム
事前申込制,['/contents/924_10259.html'],て,粗大ごみ,テレビボード
（注）販売店などに引き取りを依頼,,て,市が収集しないもの,テレビ（ブラウン管式・液晶式・プラズマ式）
事前申込制,['/contents/924_10259.html'],て,粗大ごみ,テレビ（リアプロジェクション式）
事前申込制,['/contents/924_10259.html'],て,粗大ごみ,テレビ台
事前申込制,['/contents/924_10259.html'],て,粗大ごみ,電気カーペット
事前申込制,['/contents/924_10259.html'],て,粗大ごみ,電気釜（炊飯器）
小型電子機器 回収ボックス へ,['/contents/00800208.html'],て,小型電子機器,電気かみそり
指定袋に入らない大きさのものは粗大ごみ,,て,家庭ごみ,電気スタンド
,,て,家庭ごみ,電気ポット（電気ケトル含む）
事前申込制,['/contents/924_10259.html'],て,粗大ごみ,電気治療器
新聞紙などに包んで,,て,家庭ごみ,電球
事前申込制,['/contents/924_10259.html'],て,粗大ごみ,電子オルガン（電気オルガンも含む）
小型電子機器 回収ボックス へ,['/contents/00800208.html'],て,小型電子機器,電子ゲーム機（携帯ゲーム機）
小型電子機器 回収ボックス へ,['/contents/00800208.html'],て,小型電子機器,電子辞書（電子手帳）
電池類 回収ボックス へ,['https://www.city.kitakyushu.lg.jp/kankyou/01100026.html'],て,電池類,電子たばこ
事前申込制,['/contents/924_10259.html'],て,粗大ごみ,電子ピアノ
事前申込制,['/contents/924_10259.html'],て,粗大ごみ,電子レンジ
事前申込制,['/contents/924_10259.html'],て,粗大ごみ,電子レンジ台
事前申込制 IHコンロなど電子式で小型のものは小型電子機器 回収ボックス へ,"['/contents/924_10259.html', '/contents/00800208.html']",て,粗大ごみ,電磁調理器
事前申込制,['/contents/924_10259.html'],て,粗大ごみ,天体望遠鏡
小型電子機器 回収ボックス へ,['/contents/00800208.html'],て,小型電子機器,電卓
電池の種類によって処分先が異なる 乾電池 、 ニカド電池 、 ボタン電池 、 リチウムイオン電池 の項目確認,"['/contents/924_10043.html', '/contents/924_10064.html', '/contents/924_10070.html', '/contents/924_10083.html']",て,電池類,電池
指定袋に入らない大きさのものは粗大ごみ,,て,家庭ごみ,テント
（注）販売店に相談,,て,市が収集しないもの,電動カート
（注）販売店に相談,,て,市が収集しないもの,電動車いす
事前申込制,['/contents/924_10259.html'],て,粗大ごみ,電動工具
小型電子機器 回収ボックス へ,['/contents/00800208.html'],て,小型電子機器,電動歯ブラシ
布や紙にしみこませるか固形化して、指定袋に入れてください。 できるだけペットボトルに入れて、スーパーなどの 回収ボックス へ,['/contents/00800208.html'],て,家庭ごみ,天ぷら油
小型（概ね25センチ×8.5センチ以内）のものは小型電子機器 回収ボックス へ,['/contents/00800208.html'],て,家庭ごみ,電話機（FAX機能付きも含む）
事前申込制,['/contents/924_10259.html'],て,粗大ごみ,電話台
事前申込制,['/contents/924_10259.html'],と,粗大ごみ,戸（ドア）
,,と,家庭ごみ,砥石
事前申込制,['/contents/924_10259.html'],と,粗大ごみ,トイレタンク
プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,,と,家庭ごみ,トイレブラシ
新聞紙などに包んで,,と,家庭ごみ,陶磁器類
内容物を出し切って新聞紙などに包んで （注）注射針、血液のついているものは、かかりつけの病院に引き取りを依頼,,と,家庭ごみ,透析バッグ（点滴バッグ、チューブ、カテーテル）
動物愛護センターでも受付（電話093-581-1800）,,と,家庭ごみ,動物の死体（ペット）
,,と,動物死体収集受付ダイヤル（電話0120-587-041）にご連絡ください。,動物の死体（道路上で発見したものなど）
（注）専門の処理業者に引き取りを依頼,,と,市が収集しないもの,灯油
指定袋に入らない大きさのものは粗大ごみ,,と,家庭ごみ,灯油タンク（ポリタンク）
小物金属 回収ボックス へ オーブントースターは粗大ごみ,['/contents/00800208.html'],と,小物金属,トースター（ポップアップ式で全体が金属）
電子で小型（概ね25センチ×8.5センチ以内）のものは小型電子機器 回収ボックス へ,['/contents/00800208.html'],と,家庭ごみ,時計
事前申込制,['/contents/924_10259.html'],と,粗大ごみ,戸棚
事前申込制,['/contents/924_10259.html'],と,粗大ごみ,トタン板（金属製、樹脂製）
新聞紙などに包んで,,と,家庭ごみ,土なべ
小物金属 回収ボックス へ,['/contents/00800208.html'],と,小物金属,ドライバー
小型（概ね25センチ×8.5センチ以内）のものは小型電子機器 回収ボックス へ,['/contents/00800208.html'],と,家庭ごみ,ドライヤー
事前申込制,['/contents/924_10259.html'],と,粗大ごみ,ドラム缶
事前申込制,['/contents/924_10259.html'],と,粗大ごみ,ドラムセット
,,と,家庭ごみ,トランプ
事前申込制,['/contents/924_10259.html'],と,粗大ごみ,トランポリン
事前申込制,['/contents/924_10259.html'],と,粗大ごみ,鳥かご
,,と,家庭ごみ,ドリッパー
（注）専門の処理業者に依頼,,と,市が収集しないもの,塗料
必ず使い切ってから,,と,家庭ごみ,塗料缶・びん
必ず使い切ってから,,と,プラスチック,塗料容器（プラ製）
スーパーなどの 回収ボックス も利用できます,['/contents/00800208.html'],と,プラスチック,トレイ（食品用発泡スチロール製）
,,と,プラスチック,トレイ（食品用プラ製）
事前申込制,['/contents/924_10259.html'],と,粗大ごみ,ドレッサー
,,と,家庭ごみ,泥（庭そうじなどで集めた少量のもの）
小物金属 回収ボックス へ,['/contents/00800208.html'],と,小物金属,とんかち（金づち）
