備考,備考_links,品名,出し方,section
新聞紙などに包んで,,ナイフ,家庭ごみ,な
土などを取り除いて,,苗木のプラ製ポット,プラスチック,な
,,中仕切（プラ製）,プラスチック,な
事前申込制,['/contents/924_10259.html'],流し台,粗大ごみ,な
,,中ぶた（プラ製）,プラスチック,な
新聞紙などに包んで,,鉈（なた）,家庭ごみ,な
,,納豆の容器（紙製）,家庭ごみ,な
,,納豆の容器（プラ製）,プラスチック,な
小物金属回収ボックスへ 30センチを超えるものは家庭ごみ,,なべ（金属製）,小物金属,な
事前申込制,['/contents/924_10259.html'],生木（長さ2メートル以下、直径10センチ以下）,粗大ごみ,な
事前申込制,['/contents/924_10259.html'],波板（金属製、樹脂製）,粗大ごみ,な
電池類 回収ボックス へ,['https://www.city.kitakyushu.lg.jp/kankyou/01100026.html'],ニカド電池,電池類,に
事前申込制 プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,['/contents/924_10259.html'],人形ケース,粗大ごみ,に
,,布類（衣類以外）,家庭ごみ,ぬ
プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,,ネガフィルム,家庭ごみ,ね
,,ネクタイ,家庭ごみ,ね
小物金属 回収ボックス へ 金属製以外のものは家庭ごみ,['/contents/00800208.html'],ネクタイピン,小物金属,ね
小物金属 回収ボックス へ 透明のビニール袋に入れて,['/contents/00800208.html'],ねじ,小物金属,ね
,,寝袋（シュラフ）,家庭ごみ,ね
,,粘土（工作用）,家庭ごみ,ね
（注）専門の処理業者に依頼,,農薬,市が収集しないもの,の
,,農薬びん（家庭用）（中身のないもの）,家庭ごみ,の
古紙 回収ボックス へ,['/contents/00800208.html'],ノート,古紙,の
「パソコン」 のページ参照 小型（概ね25センチ×8.5センチ以内）のものは小型電子機器 回収ボックス へ,"['/contents/924_10216.html', '/contents/00800208.html']",ノートパソコン,粗大ごみ,の
新聞紙などに包んで,,のこぎり,家庭ごみ,の
