出し方,備考_links,品名,備考,section
家庭ごみ,,マーカーペン,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,ま
粗大ごみ,['/contents/924_10259.html'],麻雀卓,事前申込制,ま
家庭ごみ,,麻雀牌・マット,,ま
家庭ごみ,,マイク,,ま
小型電子機器,['/contents/00800208.html'],マウス,小型電子機器 回収ボックス へ,ま
家庭ごみ,['/contents/00800208.html'],マガジンラック,金属製のものは小物金属 回収ボックス へ 指定袋に入らない大きさのものは粗大ごみ,ま
家庭ごみ,,マグネット,,ま
家庭ごみ,,枕,,ま
粗大ごみ,['/contents/924_10259.html'],マッサージいす,事前申込制,ま
家庭ごみ,['/contents/00800208.html'],マッサージ機,指定袋に入らない大きさのものは粗大ごみ 電気式で小型のものは小型電子機器 回収ボックス へ,ま
家庭ごみ,,マッチ,水にひたしてから,ま
粗大ごみ,['/contents/924_10259.html'],マットレス,事前申込制,ま
粗大ごみ,['/contents/924_10259.html'],窓ガラス,事前申込制 割れて小さいものは新聞紙などに包んで家庭ごみへ,ま
古紙,['/contents/00800208.html'],窓付き封筒,古紙 回収ボックス へ セロハンなどの窓部分は家庭ごみへ,ま
家庭ごみ,,まな板,,ま
家庭ごみ,,マニキュアのびん,,ま
家庭ごみ,,魔法びん,,ま
家庭ごみ,,豆電球,新聞紙などに包んで,ま
プラスチック,,マヨネーズのチューブ（ふたを含む）,中身を使い切って,ま
粗大ごみ,['/contents/924_10259.html'],丸太（長さ2メートル以下、直径20センチ以下）,事前申込制,ま
プラスチック,,みかんなどの網・ネット,,み
プラスチック,,みかんなどのポリ袋,,み
家庭ごみ,,ミキサー,,み
粗大ごみ,['/contents/924_10259.html'],ミシン,事前申込制,み
粗大ごみ,['/contents/924_10259.html'],ミシン台,事前申込制,み
家庭ごみ,['/contents/00800208.html'],ミニカー,金属製のものは小物金属 回収ボックス へ,み
粗大ごみ,['/contents/924_10259.html'],ミニコンポ,事前申込制,み
家庭ごみ,,ミル,,み
かん・びん,,ミルクかん,,み
家庭ごみ,,虫かご,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,む
小物金属,['/contents/00800208.html'],蒸し器,小物金属 回収ボックス へ 木製、竹製のせいろは家庭ごみへ,む
家庭ごみ,,虫ピン,新聞紙などに包んで,む
家庭ごみ,,虫めがね,,む
古紙,['/contents/00800208.html'],名刺,古紙 回収ボックス へ,め
家庭ごみ,,めがね,,め
家庭ごみ,,眼鏡ケース,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,め
プラスチック,,目薬の容器,,め
古紙,['/contents/00800208.html'],メモ用紙,古紙 回収ボックス へ,め
家庭ごみ,,毛布,,も
粗大ごみ,['/contents/924_10259.html'],木材（長さ2メートル以下、直径20センチ以下）,事前申込制,も
家庭ごみ,,木炭,,も
粗大ごみ,['/contents/924_10259.html'],木馬（子供用遊具）,事前申込制,も
粗大ごみ,['/contents/924_10259.html'],もちつき機,事前申込制,も
家庭ごみ,,モップ,指定袋に入らない大きさのものは粗大ごみ,も
粗大ごみ,['/contents/924_10259.html'],物置（解体したもの）,事前申込制,も
家庭ごみ,['/contents/00800208.html'],ものさし,金属製で30センチ以内のものは小物金属 回収ボックス へ プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,も
粗大ごみ,['/contents/924_10259.html'],物干しざお,事前申込制,も
粗大ごみ,['/contents/924_10259.html'],物干し台,事前申込制,も
粗大ごみ,['/contents/924_10259.html'],物干し台の支柱,事前申込制,も
電池類,['https://www.city.kitakyushu.lg.jp/kankyou/01100026.html'],モバイルバッテリー,電池類 回収ボックス へ,も
粗大ごみ,['/contents/924_10259.html'],門扉,事前申込制,も
