品名,備考,出し方,備考_links,section
アイスピック,新聞紙などに包んで,家庭ごみ,,あ
アイロン,金属製のものは小物金属 回収ボックス へ 電子式で小型（概ね25センチ×8.5センチ以内）のものは小型電子機器 回収ボックス へ,家庭ごみ,"['https://www.city.kitakyushu.lg.jp/kankyou/00800208.html', 'https://www.city.kitakyushu.lg.jp/kankyou/00800208.html']",あ
アイロン台,事前申し込み制,粗大ごみ,['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],あ
アコーディオン,事前申し込み制,粗大ごみ,['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],あ
アコーディオンカーテン,事前申し込み制,粗大ごみ,['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],あ
アダプター（電源用）,小型電子機器 回収ボックス へ,小型電子機器,['https://www.city.kitakyushu.lg.jp/kankyou/00800208.html'],あ
圧力鍋,小物金属 回収ボックス へ,小物金属,['https://www.city.kitakyushu.lg.jp/kankyou/00800208.html'],あ
油（食用油）,布や紙にしみこませるか固形化して できるだけペットボトルに入れてスーパーなどの食用油 回収ボックス へ,家庭ごみ,['https://www.city.kitakyushu.lg.jp/kankyou/00800208.html'],あ
油（機械用）,（注）専門の処理業者に依頼,市が収集しないもの,,あ
油こし器（金属製）,,家庭ごみ,,あ
油差し,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,家庭ごみ,,あ
油びん,油をよく落として,かん・びん,,あ
油よけ（アルミ製）,,家庭ごみ,,あ
雨具（カッパ）,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,家庭ごみ,,あ
雨戸,事前申し込み制,粗大ごみ,['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],あ
編み機,事前申し込み制,粗大ごみ,['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],あ
網（バーベキュー用）,小物金属 回収ボックス へ,小物金属,['https://www.city.kitakyushu.lg.jp/kankyou/00800208.html'],あ
網（昆虫採集用など）,,家庭ごみ,,あ
網戸,事前申し込み制,粗大ごみ,['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],あ
編み針,金属製のものは小物金属 回収ボックス へ プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,家庭ごみ,['https://www.city.kitakyushu.lg.jp/kankyou/00800208.html'],あ
アルバム,,家庭ごみ,,あ
アルミかん（飲食物用）,,かん・びん,,あ
アルミはく（台所用）,,家庭ごみ,,あ
アルミトレイ,よく洗って　小物金属 回収ボックス へ,小物金属,['https://www.city.kitakyushu.lg.jp/kankyou/00800208.html'],あ
泡だて器,小物金属 回収ボックス へ,小物金属,['https://www.city.kitakyushu.lg.jp/kankyou/00800208.html'],あ
あんか,,家庭ごみ,,あ
安全ピン,透明のビニール袋に入れて　小物金属 回収ボックス へ,小物金属,['https://www.city.kitakyushu.lg.jp/kankyou/00800208.html'],あ
アンテナ（テレビ用）,事前申し込み制,粗大ごみ,['https://www.city.kitakyushu.lg.jp/kankyou/file_0049.html'],あ
