品名,section,備考,備考_links,出し方
バーベキューコンロ,は,事前申込制,['/contents/924_10259.html'],粗大ごみ
バーベル（バー・おもり）,は,事前申込制,['/contents/924_10259.html'],粗大ごみ
ハーモニカ,は,,,家庭ごみ
バイク,は,・購入店に相談 ・「二輪車リサイクルシステム」（バイクメーカーの取り組み） ・二輪車リサイクルコールセンター：050-3000-0727に相談（注）自転車やバイク部品のみは対象外,,市が収集しないもの
灰皿,は,金属製のものは小物金属 回収ボックス へ,['/contents/00800208.html'],家庭ごみ
パイプいす,は,事前申込制,['/contents/924_10259.html'],粗大ごみ
パイプハンガー,は,事前申込制,['/contents/924_10259.html'],粗大ごみ
廃油,は,（注）専門の処理業者に相談 廃油処理パック等で固形にしたものは家庭ごみ,,市が収集しないもの
はがき,は,古紙 回収ボックス へ,['/contents/00800208.html'],古紙
はかり（台所ばかり）,は,,,家庭ごみ
はきもの類,は,,,家庭ごみ
バケツ,は,金属製のものは小物金属 回収ボックス へ 指定袋に入らない大きさのものは粗大ごみ プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,['/contents/00800208.html'],家庭ごみ
はさみ,は,小物金属 回収ボックス へ,['/contents/00800208.html'],小物金属
箸（はし）,は,金属製のものは小物金属 回収ボックス へ プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,['/contents/00800208.html'],家庭ごみ
はしご,は,事前申込制,['/contents/924_10259.html'],粗大ごみ
バスマット,は,,,家庭ごみ
パソコンキーボード,は,「 パソコン 」参照 小型電子機器 回収ボックス へ,"['/contents/924_10216.html', '/contents/00800208.html']",小型電子機器
パソコン用ディスプレイ,は,「 パソコン 」参照 事前申込制,"['/contents/924_10216.html', '/contents/924_10259.html']",粗大ごみ
パソコン本体（デスクトップ型・ノート型）,は,「 パソコン 」参照 小型のものは小型電子機器 回収ボックス へ,"['/contents/924_10216.html', '/contents/00800208.html']",粗大ごみ
パソコンラック,は,事前申込制,['/contents/924_10259.html'],粗大ごみ
発炎筒,は,（注）販売店に相談,,市が収集しないもの
バッテリー,は,（注）販売店に相談,,市が収集しないもの
バット（野球用）,は,事前申込制,['/contents/924_10259.html'],粗大ごみ
バット（料理用）,は,小物金属 回収ボックス へ 金属製以外のものは家庭ごみ,['/contents/00800208.html'],小物金属
発泡スチロール製の容器包装（箱・緩衝材など）,は,,,プラスチック
花火,は,水にひたしてから,,家庭ごみ
パネルヒーター,は,事前申込制,['/contents/924_10259.html'],粗大ごみ
歯ブラシ,は,電動歯ブラシは、小型電子機器 回収ボックス へ プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,['/contents/00800208.html'],家庭ごみ
歯みがき粉チューブ,は,中身を使い切って,,プラスチック
刃物類,は,新聞紙などに包んで,,家庭ごみ
バラン（仕切り用）,は,,,プラスチック
針（裁縫用など）,は,新聞紙などに包んで,,家庭ごみ
針金,は,小物金属 回収ボックス へ 長い場合は巻いた状態で,['/contents/00800208.html'],小物金属
バリカン,は,金属製のものは小物金属 回収ボックス へ 電気バリカンは小型電子機器 回収ボックス へ,"['/contents/00800208.html', '/contents/00800208.html']",家庭ごみ
ハンガー,は,金属製のものは小物金属 回収ボックス へ プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,['/contents/00800208.html'],家庭ごみ
飯ごう,は,小物金属 回収ボックス へ,['/contents/00800208.html'],小物金属
はんだごて,は,小型電子機器 回収ボックス へ,['/contents/00800208.html'],小型電子機器
パンチ（穴あけ）,は,小物金属 回収ボックス へ,['/contents/00800208.html'],小物金属
ハンディミシン,は,小型電子機器 回収ボックス へ,['/contents/00800208.html'],小型電子機器
ハンドクリーナー,は,,,家庭ごみ
ハンドバッグ,は,,,家庭ごみ
パンフレット,は,古紙 回収ボックス へ,['/contents/00800208.html'],古紙
ハンマー（金属製）,は,小物金属 回収ボックス へ,['/contents/00800208.html'],小物金属
ピアノ,ひ,（注）専門の処理業者に依頼,,市が収集しないもの
ビーチパラソル,ひ,事前申込制,['/contents/924_10259.html'],粗大ごみ
PPバンド,ひ,50センチ未満に切って,,プラスチック
ビールケース,ひ,事前申込制 できるだけ販売店へ,['/contents/924_10259.html'],粗大ごみ
ビールびん,ひ,できるだけ販売店へ,,かん・びん
ビールびんのふた,ひ,小物金属 回収ボックス へ,['/contents/00800208.html'],小物金属
ひげそり,ひ,金属製のものは小物金属 回収ボックス へ 電気ひげそりはできるだけ小型電子機器 回収ボックス へ,"['/contents/00800208.html', '/contents/00800208.html']",家庭ごみ
ビデオカメラ,ひ,小型電子機器 回収ボックス へ,['/contents/00800208.html'],小型電子機器
ビデオテープ類（ケースを含む）,ひ,,,家庭ごみ
ビデオデッキ,ひ,事前申込制,['/contents/924_10259.html'],粗大ごみ
ひな人形セット,ひ,指定袋に入らない大きさのものは粗大ごみ,,家庭ごみ
ビニールシート,ひ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,,家庭ごみ
ビニール手袋,ひ,,,プラスチック
ビニール袋,ひ,,,プラスチック
火バサミ,ひ,小物金属 回収ボックス へ,['/contents/00800208.html'],小物金属
火鉢,ひ,事前申込制,['/contents/924_10259.html'],粗大ごみ
肥料,ひ,,,家庭ごみ
びん（飲料・食品のびん）,ひ,,,かん・びん
びん（のみ薬のびん）,ひ,,,かん・びん
びん（調味料びん）,ひ,,,かん・びん
びん（ソース、ドレッシングびん）,ひ,油をよく落として,,かん・びん
びん（油びん）,ひ,油をよく落として,,かん・びん
びん（化粧品のびん）,ひ,,,かん・びん
びん（飲食物以外のびん）,ひ,,,家庭ごみ
ファイル（紙製）,ふ,古紙 回収ボックス へ 金具等は外して,['/contents/00800208.html'],古紙
ファイル（プラスチック製）,ふ,,,プラスチック
ファクシミリ（FAX）,ふ,事前申込制 小型（概ね25センチ×8.5センチ以内）のものは小型電子機器 回収ボックス へ,"['/contents/924_10259.html', '/contents/00800208.html']",粗大ごみ
ファクシミリ用紙（感熱紙）,ふ,,,家庭ごみ
ファンシーケース（衣装ケース）,ふ,事前申込制 プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,['/contents/924_10259.html'],粗大ごみ
ファンヒーター,ふ,事前申込制 灯油は抜いて,['/contents/924_10259.html'],粗大ごみ
フィルム（ネガ）,ふ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,,家庭ごみ
フィルムケース,ふ,,,プラスチック
封筒,ふ,古紙 回収ボックス へ ビニール製のものは家庭ごみ,['/contents/00800208.html'],古紙
フードプロセッサー,ふ,,,家庭ごみ
ふえ（ホイッスル）,ふ,小物金属 回収ボックス へ 金属製以外のものは家庭ごみ プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,['/contents/00800208.html'],小物金属
フェンス,ふ,事前申込制,['/contents/924_10259.html'],粗大ごみ
フォーク,ふ,小物金属 回収ボックス へ 金属製以外のものは家庭ごみ プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,['/contents/00800208.html'],小物金属
ふすま,ふ,事前申込制,['/contents/924_10259.html'],粗大ごみ
ふせん,ふ,古紙 回収ボックス へ のり部分は取り除いて,['/contents/00800208.html'],古紙
ふた・キャップ（金属製）,ふ,小物金属 回収ボックス へ,['/contents/00800208.html'],小物金属
ふた・キャップ（プラ製）,ふ,,,プラスチック
ブックエンド,ふ,小物金属 回収ボックス へ 金属製以外のものは家庭ごみ プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,['/contents/00800208.html'],小物金属
ブックカバー,ふ,古紙 回収ボックス へ 紙製以外のものは家庭ごみ,['/contents/00800208.html'],古紙
仏壇,ふ,事前申込制,['/contents/924_10259.html'],粗大ごみ
筆箱,ふ,金属製のものは小物金属 回収ボックス へ プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,['/contents/00800208.html'],家庭ごみ
布団,ふ,事前申込制,['/contents/924_10259.html'],粗大ごみ
布団乾燥機,ふ,事前申込制,['/contents/924_10259.html'],粗大ごみ
布団たたき,ふ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,,家庭ごみ
布団干し,ふ,事前申込制,['/contents/924_10259.html'],粗大ごみ
フライ返し,ふ,小物金属 回収ボックス へ 金属製以外のものは家庭ごみ プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,['/contents/00800208.html'],小物金属
フライパン,ふ,小物金属 回収ボックス へ 30センチを超えるものは家庭ごみ,['/contents/00800208.html'],小物金属
ブラインド,ふ,事前申込制,['/contents/924_10259.html'],粗大ごみ
ぶら下がり健康器,ふ,事前申込制,['/contents/924_10259.html'],粗大ごみ
ブラシ,ふ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,,家庭ごみ
プラスチック製収納箱,ふ,指定袋に入らない大きさのものは粗大ごみ プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,,家庭ごみ
プラモデル,ふ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,,家庭ごみ
ブランコ,ふ,事前申込制,['/contents/924_10259.html'],粗大ごみ
プランター,ふ,指定袋に入らない大きさのものは粗大ごみ プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,,家庭ごみ
ブリキ製品,ふ,小物金属 回収ボックス へ 30センチを超えるものは粗大ごみ,['/contents/00800208.html'],小物金属
プリンター,ふ,事前申込制 小型（概ね25センチ×8.5センチ以内）のものは小型電子機器 回収ボックス へ,"['/contents/924_10259.html', '/contents/00800208.html']",粗大ごみ
